user_id,item_id,score
1,528,0
1,528,0
1,536,1
1,536,1
1,538,1
1,547,1
1,2762,0
1,2762,0
1,2798,0
1,2798,0
1,2808,1
1,10927,1
1,10957,1
1,11146,1
1,11195,1
2,13361,1
2,13912,1
2,13937,1
3,1617,0
3,4405,0
3,4405,0
3,16172,1
3,16179,1
3,16183,1
4,232,1
4,232,1
4,495,1
4,516,0
4,521,1
4,608,1
4,616,1
4,623,1
4,628,1
4,823,0
4,826,0
4,834,1
4,844,1
4,881,1
4,883,0
4,967,1
4,1172,1
4,1221,1
4,1234,1
4,1445,1
4,1445,1
4,1445,1
4,1454,1
4,1462,1
4,1462,1
4,1479,0
4,1486,1
4,1490,1
4,1492,0
4,1504,0
4,1566,1
4,1615,0
4,1618,1
4,1628,0
4,1634,1
4,1637,1
4,1675,1
4,1711,1
4,1796,0
4,1813,1
4,1839,1
4,1843,1
4,1938,1
4,2725,0
4,2735,1
4,2755,1
4,2765,1
4,2765,1
4,2792,0
4,2800,0
4,2800,0
4,2822,1
4,2824,1
4,2824,1
4,2826,0
4,2826,0
4,2834,1
4,2834,1
4,2835,1
4,2840,1
4,2847,1
4,2847,1
4,2848,1
4,2855,1
4,2855,1
4,3123,1
4,3123,1
4,3227,0
4,3271,1
4,3293,1
4,3299,1
4,3576,1
4,3718,1
4,3718,1
4,3880,1
4,3993,1
4,4079,1
4,4204,1
4,4277,1
4,4464,0
4,4466,1
4,4482,0
4,4483,0
4,4503,1
4,4710,1
4,4739,1
4,4747,1
4,4934,1
4,4939,0
4,4942,1
4,5050,1
4,5063,1
4,5183,1
4,5302,1
4,5532,1
4,5564,1
4,5576,1
4,5588,1
4,5598,0
4,5639,0
4,5645,1
4,5648,1
4,5690,0
4,5691,1
4,5843,0
4,5855,0
4,6418,1
4,6418,1
4,6418,1
4,6447,0
4,6447,0
4,6470,1
4,6470,1
4,6470,1
4,6495,0
4,6495,0
4,6567,0
4,6567,0
4,6567,0
4,6570,0
4,6570,0
4,6602,1
4,6614,0
4,6848,0
4,6886,0
4,6890,1
4,6910,1
4,6917,1
4,6918,1
4,7012,1
4,7074,1
4,7213,1
4,7263,0
4,7368,1
4,7368,1
4,7464,1
4,7471,1
4,7475,1
4,7483,1
4,7512,1
4,7513,1
4,7522,0
4,7529,0
4,7593,1
4,7773,0
4,7793,1
4,7834,1
4,7845,0
4,7859,1
4,7874,1
4,7902,0
4,7985,1
4,8083,0
4,8086,1
4,8088,0
4,8095,1
4,8235,1
4,8567,1
4,8570,1
4,8621,1
4,8639,0
4,8854,1
4,8869,1
4,8881,0
4,8895,1
4,8964,1
4,8975,1
4,8986,0
4,9016,1
4,9075,1
4,9075,1
4,9076,0
4,9076,0
4,9077,1
4,9077,1
4,9091,0
4,9154,1
4,9255,0
4,9403,1
4,9839,1
4,9867,1
4,10545,1
4,10548,1
4,10578,1
4,10817,1
4,10827,1
4,11047,1
4,11150,1
4,11154,1
4,11250,0
4,13027,1
4,13266,0
4,13267,0
4,13268,1
4,13286,1
4,13290,1
4,13366,1
4,13390,0
4,13391,1
4,13392,1
4,13393,0
4,13410,1
4,13458,0
4,13459,0
4,13460,0
4,13462,0
4,13474,1
4,13484,1
4,13497,1
4,13506,1
4,13516,1
4,13519,1
4,13817,1
4,13887,1
4,13922,1
4,13977,1
4,14007,0
4,14008,1
4,14646,0
5,13837,1
5,13862,1
5,13907,1
5,13922,0
5,13924,1
5,13925,1
5,13932,1
5,13947,0
5,13949,1
5,13952,0
5,13954,1
5,13955,1
5,13956,1
5,13979,1
5,13980,1
5,13981,1
5,14037,1
6,16435,0
6,16457,0
6,16463,0
6,16473,1
6,16477,0
6,16495,0
6,16549,1
7,68,1
7,77,0
7,86,1
7,101,1
7,108,1
7,108,1
7,163,1
7,163,1
7,172,1
7,500,1
7,527,1
7,527,1
7,546,1
7,546,1
7,600,1
7,603,1
7,604,1
