1,0.61,0.63,0.61,0.62,0.49,0.51,0.65,0.62,0.55,0.49,0.67,0.5,0.46,0.5,0.58,0.58,0.59,0.54,0.54,0.59,0.56,0.55,0.56,0.46,0.47,0.47,0.6,0.55,0.53,0.44,0.41,0.42,0.64,0.4,0.55,0.55,0.52,0.53,0.74,0.66,0.55,0.41,0.53,0.45,0.47,0.61,0.57,0.5,0.62,0.45,0.6,0.37,0.49,0.44,0.54,0.54,0.64,0.64,0.4,0.46,0.36,0.49,0.57,0.46,0.41,0.51,0.36,0.5,0.44,0.44,0.44,0.41,0.54,0.5,0.45,0.5,0.49,0.51,0.5,0.48,0.56,0.55,0.5,0.43,0.5,0.55,0.56,0.5,0.49,0.5,0.53,0.47,0.5,0.48,0.45,0.55,0.51,0.6,0.5,0.5,0.51
2,0.48,0.56,0.49,0.51,0.48,0.42,0.54,0.49,0.43,0.49,0.42,0.58,0.44,0.53,0.62,0.49,0.5,0.5,0.49,0.5,0.51,0.51,0.52,0.51,0.58,0.45,0.52,0.55,0.57,0.51,0.46,0.5,0.5,0.4,0.48,0.55,0.49,0.58,0.52,0.49,0.5,0.58,0.51,0.55,0.58,0.45,0.55,0.5,0.5,0.5,0.4,0.5,0.47,0.55,0.54,0.51,0.59,0.49,0.46,0.43,0.51,0.49,0.52,0.59,0.57,0.5,0.47,0.5,0.55,0.46,0.46,0.49,0.49,0.56,0.51,0.48,0.53,0.43,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.49,0.51,0.49,0.5,0.41,0.5,0.43,0.46,0.51,0.5,0.49,0.5,0.5,0.5,0.5
3,0.47,0.55,0.54,0.42,0.51,0.5,0.46,0.36,0.5,0.51,0.54,0.57,0.5,0.29,0.42,0.5,0.5,0.51,0.5,0.5,0.5,0.51,0.49,0.46,0.55,0.39,0.46,0.46,0.5,0.42,0.55,0.46,0.45,0.44,0.39,0.41,0.3,0.46,0.51,0.43,0.51,0.49,0.5,0.49,0.42,0.5,0.47,0.5,0.51,0.51,0.41,0.49,0.53,0.44,0.45,0.54,0.49,0.41,0.37,0.38,0.54,0.5,0.38,0.43,0.47,0.49,0.41,0.5,0.46,0.46,0.49,0.51,0.58,0.5,0.42,0.51,0.49,0.51,0.49,0.5,0.5,0.5,0.51,0.51,0.52,0.5,0.51,0.49,0.48,0.5,0.5,0.49,0.55,0.5,0.49,0.51,0.5,0.48,0.5,0.49,0.5
4,0.59,0.49,0.58,0.55,0.6,0.43,0.56,0.63,0.53,0.51,0.54,0.5,0.49,0.46,0.69,0.49,0.49,0.5,0.5,0.5,0.55,0.49,0.5,0.54,0.53,0.46,0.57,0.49,0.63,0.45,0.5,0.54,0.61,0.47,0.56,0.49,0.58,0.5,0.41,0.57,0.51,0.42,0.58,0.51,0.44,0.5,0.58,0.46,0.53,0.44,0.54,0.48,0.51,0.54,0.54,0.5,0.46,0.48,0.6,0.38,0.53,0.45,0.39,0.59,0.42,0.46,0.45,0.46,0.57,0.51,0.53,0.5,0.57,0.54,0.54,0.5,0.5,0.5,0.5,0.51,0.49,0.51,0.51,0.5,0.55,0.49,0.5,0.5,0.5,0.5,0.55,0.5,0.5,0.51,0.46,0.41,0.48,0.5,0.5,0.5,0.51
5,0.65,0.54,0.6,0.53,0.65,0.67,0.51,0.6,0.54,0.51,0.6,0.51,0.62,0.5,0.63,0.5,0.49,0.5,0.5,0.48,0.49,0.5,0.51,0.55,0.5,0.55,0.54,0.48,0.54,0.5,0.5,0.5,0.52,0.47,0.54,0.49,0.5,0.58,0.41,0.54,0.56,0.58,0.51,0.51,0.59,0.5,0.38,0.55,0.46,0.54,0.51,0.54,0.54,0.48,0.54,0.5,0.49,0.61,0.51,0.54,0.59,0.51,0.54,0.5,0.53,0.5,0.49,0.49,0.53,0.59,0.5,0.54,0.51,0.5,0.5,0.5,0.54,0.5,0.44,0.51,0.49,0.49,0.51,0.49,0.5,0.62,0.5,0.5,0.5,0.5,0.52,0.51,0.55,0.5,0.52,0.4,0.5,0.5,0.51,0.51,0.51
6,0.65,0.59,0.51,0.58,0.59,0.48,0.39,0.54,0.41,0.45,0.49,0.5,0.32,0.39,0.4,0.5,0.49,0.51,0.5,0.5,0.5,0.48,0.49,0.47,0.4,0.33,0.47,0.41,0.44,0.53,0.39,0.55,0.59,0.48,0.55,0.46,0.52,0.62,0.66,0.67,0.45,0.47,0.65,0.49,0.42,0.6,0.49,0.45,0.49,0.49,0.53,0.48,0.59,0.57,0.5,0.54,0.43,0.58,0.46,0.4,0.63,0.55,0.42,0.41,0.34,0.39,0.48,0.47,0.36,0.67,0.5,0.48,0.51,0.46,0.44,0.5,0.46,0.46,0.51,0.49,0.48,0.51,0.5,0.46,0.5,0.44,0.5,0.54,0.51,0.5,0.51,0.51,0.5,0.49,0.45,0.55,0.49,0.52,0.5,0.51,0.52
7,0.51,0.5,0.5,0.5,0.5,0.48,0.51,0.42,0.5,0.51,0.5,0.5,0.5,0.43,0.47,0.5,0.51,0.48,0.49,0.51,0.5,0.5,0.5,0.5,0.44,0.5,0.48,0.51,0.51,0.49,0.5,0.51,0.42,0.5,0.51,0.49,0.48,0.45,0.49,0.54,0.51,0.5,0.49,0.51,0.51,0.45,0.36,0.49,0.47,0.51,0.51,0.52,0.51,0.5,0.5,0.48,0.5,0.46,0.45,0.46,0.51,0.48,0.46,0.49,0.5,0.5,0.51,0.51,0.5,0.5,0.52,0.5,0.51,0.5,0.5,0.5,0.48,0.5,0.45,0.5,0.52,0.51,0.5,0.5,0.49,0.51,0.5,0.49,0.5,0.48,0.5,0.49,0.49,0.48,0.49,0.51,0.5,0.5,0.48,0.51,0.5
8,0.53,0.5,0.57,0.52,0.5,0.55,0.56,0.54,0.46,0.54,0.64,0.5,0.41,0.61,0.39,0.5,0.48,0.51,0.5,0.49,0.48,0.48,0.5,0.51,0.5,0.49,0.53,0.52,0.55,0.51,0.55,0.49,0.59,0.44,0.59,0.45,0.54,0.47,0.52,0.53,0.49,0.55,0.55,0.5,0.44,0.67,0.46,0.48,0.46,0.5,0.54,0.6,0.5,0.6,0.44,0.51,0.48,0.52,0.56,0.49,0.49,0.44,0.5,0.59,0.5,0.52,0.48,0.58,0.44,0.5,0.5,0.51,0.5,0.5,0.49,0.5,0.55,0.51,0.51,0.49,0.5,0.51,0.5,0.56,0.5,0.61,0.51,0.49,0.5,0.5,0.5,0.44,0.5,0.51,0.49,0.6,0.48,0.47,0.51,0.5,0.5
9,0.54,0.49,0.57,0.5,0.6,0.54,0.45,0.58,0.51,0.51,0.53,0.56,0.49,0.65,0.65,0.51,0.5,0.51,0.51,0.51,0.5,0.51,0.49,0.51,0.5,0.5,0.54,0.52,0.51,0.5,0.5,0.45,0.49,0.48,0.55,0.45,0.5,0.45,0.49,0.51,0.54,0.51,0.58,0.5,0.58,0.5,0.53,0.56,0.5,0.49,0.58,0.56,0.5,0.57,0.53,0.51,0.52,0.66,0.51,0.5,0.51,0.49,0.53,0.55,0.55,0.54,0.56,0.59,0.51,0.59,0.42,0.58,0.51,0.49,0.49,0.49,0.52,0.5,0.51,0.5,0.51,0.5,0.5,0.52,0.49,0.54,0.51,0.5,0.49,0.5,0.47,0.5,0.51,0.5,0.51,0.5,0.51,0.49,0.5,0.5,0.5
10,0.2,0.51,0.47,0.45,0.47,0.44,0.41,0.52,0.51,0.54,0.42,0.48,0.42,0.39,0.46,0.49,0.5,0.51,0.5,0.49,0.49,0.49,0.5,0.38,0.38,0.5,0.56,0.55,0.43,0.31,0.44,0.53,0.59,0.3,0.47,0.46,0.44,0.53,0.41,0.43,0.52,0.36,0.52,0.46,0.52,0.44,0.53,0.54,0.5,0.5,0.5,0.46,0.35,0.41,0.55,0.63,0.34,0.47,0.44,0.39,0.5,0.51,0.27,0.36,0.54,0.58,0.42,0.37,0.44,0.47,0.4,0.34,0.52,0.49,0.47,0.48,0.47,0.5,0.54,0.42,0.49,0.43,0.55,0.38,0.5,0.48,0.54,0.51,0.54,0.49,0.5,0.45,0.49,0.5,0.45,0.51,0.45,0.46,0.49,0.5,0.5
