user_id,item_id,score
1,1,0
2,1,0
3,1,0
4,1,1
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,1
12,1,1
13,1,1
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,1
22,1,1
23,1,1
24,1,0
25,1,1
26,1,0
27,1,0
28,1,0
29,1,0
30,1,1
31,1,1
32,1,1
33,1,1
34,1,0
35,1,1
36,1,1
37,1,0
38,1,1
39,1,1
40,1,0
41,1,0
42,1,1
43,1,1
44,1,0
45,1,1
46,1,1
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,1
53,1,0
54,1,0
55,1,0
56,1,1
57,1,1
58,1,0
59,1,0
60,1,1
61,1,0
62,1,0
63,1,1
64,1,1
65,1,1
66,1,0
67,1,1
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,1
75,1,0
76,1,0
77,1,0
78,1,1
79,1,1
80,1,0
81,1,0
82,1,1
83,1,0
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,0
93,1,1
94,1,1
95,1,1
96,1,0
97,1,0
98,1,0
99,1,1
100,1,0
101,1,1
102,1,1
103,1,0
104,1,0
105,1,0
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,0
112,1,0
113,1,1
114,1,0
115,1,1
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,1
125,1,1
126,1,1
127,1,1
128,1,0
129,1,0
130,1,1
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,1
137,1,0
138,1,1
139,1,0
140,1,1
141,1,1
142,1,1
143,1,0
144,1,0
145,1,0
146,1,0
147,1,1
148,1,0
149,1,0
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,0
156,1,1
157,1,0
158,1,0
159,1,0
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,0
166,1,0
167,1,0
168,1,1
169,1,1
170,1,0
171,1,0
172,1,0
173,1,1
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,1
181,1,0
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,0
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,0
195,1,0
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,0
